t_ns,collective,label,n_active_flows,n_eps_flows,n_ocs_flows,core_bw_gbps,core_utilisation,core_queue_mb,ocs_bw_gbps,ocs_bytes_carried_mb,port_queue_mb_max,n_dark
502733.9,0,,87,56,7,50.0,1.0,44.7329,15.9576,7.139,16.9757,0
503578.1,0,,86,56,7,50.0,1.0,44.6907,16.0891,7.1526,16.9493,0
505578.1,0,,86,56,7,50.0,1.0,44.5907,16.0891,7.1848,16.887,0
507578.1,0,,86,56,7,50.0,1.0,44.4907,16.0891,7.2169,16.8246,0
509569.7,0,,86,56,7,50.0,1.0,44.3911,16.0891,7.249,16.7625,0
509578.1,0,,85,56,7,50.0,1.0,44.3907,16.2868,7.2491,16.7623,0
511578.1,0,,85,56,7,50.0,1.0,44.2907,16.2868,7.2817,16.7002,0
513578.1,0,,85,56,7,50.0,1.0,44.1907,16.2868,7.3143,16.6381,0
515578.1,0,,85,56,7,50.0,1.0,44.0907,16.2868,7.3468,16.5759,0
516924.3,0,,85,56,7,50.0,1.0,44.0234,16.2868,7.3688,16.5341,0
517578.1,0,,84,56,7,50.0,1.0,43.9907,16.4844,7.3795,16.5145,0
519578.1,0,,84,56,7,50.0,1.0,43.8907,16.4844,7.4125,16.4543,0
521578.1,0,,84,56,7,50.0,1.0,43.7907,16.4844,7.4455,16.3942,0
523578.1,0,,84,56,7,50.0,1.0,43.6907,16.4844,7.4784,16.334,0
525578.1,0,,84,56,7,50.0,1.0,43.5907,16.4844,7.5114,16.2739,0
527578.1,0,,84,56,7,50.0,1.0,43.4907,16.4844,7.5444,16.2138,0
529578.1,0,,84,56,7,50.0,1.0,43.3907,16.4844,7.5774,16.1536,0
531578.1,0,,84,56,7,50.0,1.0,43.2907,16.4844,7.6103,16.0935,0
533578.1,0,,84,56,7,50.0,1.0,43.1907,16.4844,7.6433,16.0333,0
535578.1,0,,84,56,7,50.0,1.0,43.0907,16.4844,7.6763,15.9732,0
537578.1,0,,84,56,7,50.0,1.0,42.9907,16.4844,7.7092,15.9131,0
539578.1,0,,84,56,7,50.0,1.0,42.8907,16.4844,7.7422,15.8529,0
541578.1,0,,84,56,7,50.0,1.0,42.7907,16.4844,7.7752,15.7928,0
543578.1,0,,84,56,7,50.0,1.0,42.6907,16.4844,7.8081,15.7326,0
545578.1,0,,84,56,7,50.0,1.0,42.5907,16.4844,7.8411,15.6725,0
547578.1,0,,84,56,7,50.0,1.0,42.4907,16.4844,7.8741,15.6123,0
549578.1,0,,84,56,7,50.0,1.0,42.3907,16.4844,7.907,15.5522,0
551578.1,0,,84,56,7,50.0,1.0,42.2907,16.4844,7.94,15.4921,0
553578.1,0,,84,56,7,50.0,1.0,42.1907,16.4844,7.973,15.4319,0
554771.3,0,,84,56,7,50.0,1.0,42.131,16.4844,7.9926,15.396,0
555578.1,0,,83,56,7,50.0,1.0,42.0907,16.7008,8.0061,15.3727,0
557578.1,0,,83,56,7,50.0,1.0,41.9907,16.7008,8.0395,15.3147,0
559578.1,0,,83,56,7,50.0,1.0,41.8907,16.7008,8.0729,15.2567,0
561578.1,0,,83,56,7,50.0,1.0,41.7907,16.7008,8.1063,15.1988,0
563578.1,0,,83,56,7,50.0,1.0,41.6907,16.7008,8.1397,15.1408,0
563600.5,0,,83,56,7,50.0,1.0,41.6895,16.7008,8.1401,15.1401,0
565578.1,0,,82,56,7,50.0,1.0,41.5907,16.9389,8.1736,15.0831,0
567578.1,0,,82,56,7,50.0,1.0,41.4907,16.9389,8.2075,15.0255,0
569578.1,0,,82,56,7,50.0,1.0,41.3907,16.9389,8.2414,14.9678,0
571578.1,0,,82,56,7,50.0,1.0,41.2907,16.9389,8.2752,14.9101,0
